TOTAL,SW,EB,INST_TOT,INST_SW,INST_EB,STATE,YEAR
6408.0,4178.0,930.0,3924.0,2809.0,615.0,Arkansas,2003
7691.0,5082.0,1420.0,4666.0,3319.0,904.0,California,2003
7316.0,4817.0,924.0,4212.0,3147.0,591.0,Colorado,2003
10372.0,6749.0,1850.0,6458.0,4762.0,1289.0,Connecticut,2003
9669.0,5811.0,1986.0,6002.0,4133.0,1406.0,Delaware,2003
13328.0,7601.0,1692.0,6976.0,4145.0,1290.0,District of Columbia,2003
6450.0,4080.0,1074.0,3793.0,2543.0,640.0,Florida,2003
7724.0,5180.0,1440.0,4916.0,3566.0,1025.0,Georgia,2003
8100.0,5240.0,1475.0,4833.0,3418.0,951.0,Hawaii,2003
6034.0,3835.0,1173.0,3720.0,2634.0,785.0,Idaho,2003
8409.0,5276.0,1523.0,5052.0,3615.0,1009.0,Illinois,2003
7948.0,4738.0,2060.0,4782.0,3213.0,1423.0,Indiana,2003
7534.0,5035.0,1430.0,4474.0,3283.0,922.0,Iowa,2003
7292.0,4617.0,990.0,4401.0,3036.0,634.0,Kansas,2003
6647.0,4458.0,1136.0,4068.0,3000.0,766.0,Kentucky,2003
6868.0,4426.0,1240.0,4161.0,2990.0,842.0,Louisiana,2003
8847.0,5367.0,2392.0,5826.0,3872.0,1473.0,Maine,2003
8921.0,5794.0,1791.0,5467.0,3934.0,1226.0,Maryland,2003
10223.0,6500.0,2009.0,6336.0,4427.0,1479.0,Massachusetts,2003
8588.0,5328.0,2042.0,4889.0,3286.0,1246.0,Michigan,2003
8073.0,5400.0,1442.0,5178.0,3740.0,1015.0,Minnesota,2003
5816.0,3626.0,976.0,3462.0,2492.0,643.0,Mississippi,2003
7262.0,4838.0,1099.0,4422.0,3246.0,709.0,Missouri,2003
7449.0,4427.0,1247.0,4589.0,3044.0,839.0,Montana,2003
7743.0,4778.0,1375.0,4967.0,3336.0,982.0,Nebraska,2003
6084.0,3897.0,1179.0,3807.0,2594.0,790.0,Nevada,2003
8285.0,5157.0,1485.0,5217.0,3782.0,1087.0,New Hampshire,2003
12202.0,7645.0,2261.0,7085.0,5038.0,1418.0,New Jersey,2003
6870.0,4437.0,1176.0,3870.0,2835.0,741.0,New Mexico,2003
12140.0,7843.0,2263.0,8375.0,5972.0,1793.0,New York,2003
6635.0,4642.0,848.0,4197.0,3212.0,569.0,North Carolina,2003
7153.0,4458.0,1209.0,4326.0,3087.0,857.0,North Dakota,2003
8555.0,5441.0,1690.0,4881.0,3462.0,1020.0,Ohio,2003
6127.0,3689.0,935.0,3458.0,2465.0,619.0,Oklahoma,2003
7460.0,4328.0,1819.0,4407.0,2836.0,1168.0,Oregon,2003
9367.0,5751.0,1562.0,5739.0,4042.0,1046.0,Pennsylvania,2003
9315.0,6398.0,2166.0,5704.0,4538.0,1440.0,Rhode Island,2003
7047.0,4488.0,1269.0,4169.0,3013.0,828.0,South Carolina,2003
6532.0,4096.0,1036.0,3913.0,2810.0,694.0,South Dakota,2003
6201.0,4082.0,960.0,4002.0,2869.0,643.0,Tennessee,2003
7076.0,4923.0,799.0,4286.0,3323.0,502.0,Texas,2003
4860.0,3077.0,1092.0,3123.0,2134.0,757.0,Utah,2003
10322.0,6433.0,1876.0,6438.0,4543.0,1321.0,Vermont,2003
7832.0,5387.0,1378.0,4814.0,3589.0,907.0,Virginia,2003
7101.0,4789.0,1097.0,4270.0,3172.0,695.0,Washington,2003
8218.0,4975.0,2222.0,5044.0,3315.0,1463.0,West Virginia,2003
8993.0,5197.0,2310.0,5532.0,3613.0,1551.0,Wisconsin,2003
9202.0,5717.0,1860.0,5507.0,3771.0,1202.0,Wyoming,2003
8287.0,5257.0,1564.0,5056.0,3561.0,1035.0,  United States,2004
6553.0,4021.0,1272.0,3934.0,2708.0,808.0,Alabama,2004
10114.0,5931.0,1806.0,5821.0,3864.0,1143.0,Alaska,2004
6036.0,3900.0,924.0,3458.0,2568.0,597.0,Arizona,2004
6740.0,4349.0,994.0,4105.0,2921.0,659.0,Arkansas,2004
7748.0,4993.0,1507.0,4690.0,3276.0,919.0,California,2004
7412.0,4842.0,988.0,4265.0,3146.0,623.0,Colorado,2004
